Word,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum
admiral,4.8,1.32,20,4.05,2.44,21
admiralty,6.16,2.12,19,4.27,2.33,22
admiration,7.58,1.98,19,5.52,2.19,23
admire,7.35,1.27,20,5.0,2.27,22
admired,7.25,1.37,20,5.95,2.16,21
admirer,7.05,1.43,21,6.0,2.25,22
admissible,5.16,1.61,19,2.9,1.71,20
admission,5.91,1.34,22,3.69,2.02,26
admit,5.56,1.79,18,3.35,2.43,20
admittance,6.29,1.23,21,3.6,1.5,20
ado,4.82,0.96,22,3.33,2.24,21
adobe,5.25,1.83,20,3.89,2.32,18
adolescence,6.0,1.65,20,5.1,2.53,21
adolescent,5.38,1.91,21,4.2,2.67,20
adopt,6.9,1.61,21,4.71,2.18,24
adoption,6.68,1.92,19,4.82,2.44,22
adoptive,5.67,1.39,21,4.4,2.14,25
adorable,7.4,1.6,20,4.66,2.79,38
adoration,6.47,2.06,19,4.36,2.28,22
adore,7.37,1.38,19,5.96,2.33,23
adoring,7.38,1.32,21,4.86,2.65,21
adrenalin,6.33,1.91,21,5.05,3.03,22
adrenaline,6.61,2.03,18,5.95,2.58,20
adrift,4.36,1.6,25,3.19,1.78,21
adult,5.9,2.1,42,4.36,2.5,22
adulterer,2.77,1.97,22,5.68,2.85,22
adultery,2.81,2.06,21,6.42,2.48,19
adulthood,5.05,2.09,21,4.28,2.53,25
advance,6.11,2.0,18,4.62,2.54,21
advanced,6.14,1.42,21,3.83,2.06,23
advancement,7.47,1.54,19,5.81,2.04,21
advantage,6.71,1.62,21,3.95,2.36,22
advantageous,6.79,1.4,19,5.7,2.08,20
adventure,7.4,1.78,42,6.36,2.4,42
adventurer,7.0,1.76,21,5.27,2.9,22
adventurous,7.37,1.01,19,6.67,2.06,18
adversary,4.55,2.11,20,4.41,2.04,22
adverse,3.68,1.0,19,3.89,2.22,18
adversity,4.26,2.47,19,3.82,2.61,22
advertise,5.16,1.68,19,4.29,2.31,21
advertisement,4.3,1.49,20,4.14,2.46,22
advertising,4.68,2.19,19,3.25,2.02,20
advice,5.78,1.99,18,3.05,2.38,21
advisable,5.62,1.66,21,4.36,2.19,22
advise,5.44,1.39,25,3.38,2.27,21
advisement,4.55,1.53,22,4.04,2.36,26
adviser,5.68,2.11,19,3.36,1.71,22
advisor,4.74,1.45,19,3.19,1.63,21
advisory,4.95,1.5,21,4.05,2.19,22
advocate,5.25,1.48,20,4.59,2.06,22
aerial,6.04,1.4,23,3.67,2.2,21
aerobics,6.0,1.11,19,5.1,2.17,21
aerodynamic,6.16,1.38,19,4.33,2.24,21
aerospace,5.79,1.69,19,4.52,2.29,21
aesthetic,5.43,1.54,21,2.88,2.21,24
affair,3.1,2.53,21,5.4,2.46,20
affect,5.65,1.23,20,3.61,2.23,23
affection,7.89,1.05,19,5.64,2.63,22
affectionate,7.23,1.77,22,4.77,2.65,22
affidavit,4.38,1.2,21,3.73,2.43,22
affiliation,5.32,0.99,22,3.9,1.97,21
affinity,5.86,1.32,22,4.29,2.33,21
affirmation,5.95,2.37,20,3.95,1.67,20
affirmative,5.94,2.04,18,3.64,2.13,22
affliction,3.76,1.92,21,5.1,2.25,20
afford,6.56,2.09,18,4.33,2.82,21
affordable,7.52,1.44,21,4.11,2.28,19
affront,4.53,1.17,19,4.5,2.46,20
afire,6.05,1.36,20,5.41,2.48,22
afloat,5.57,1.33,21,4.13,2.24,23
aforementioned,5.21,1.96,19,3.5,2.24,22
afraid,2.25,1.16,20,5.12,2.57,42
african,6.42,1.74,19,4.11,2.28,19
afterlife,5.53,2.52,19,4.32,2.9,22
aftermath,4.29,1.82,21,5.38,2.46,21
afternoon,6.68,1.43,22,3.48,2.09,21
aftershave,5.55,1.57,20,3.5,2.44,22
age,5.78,1.93,18,3.71,2.59,21
agency,5.14,1.46,21,3.17,1.97,23
agenda,5.05,2.01,21,3.62,2.26,24
agent,5.23,1.95,22,3.43,2.13,21
aggravate,2.55,1.19,20,5.9,2.19,21
aggravation,2.48,1.12,21,5.35,2.81,20
aggression,3.18,2.02,22,5.69,2.49,26
aggressive,3.08,1.5,37,5.87,2.53,23
aggressiveness,3.58,2.12,19,6.43,2.11,23
aggressor,2.8,1.01,20,6.55,1.57,20
agile,5.95,2.2,19,4.95,2.01,22
agility,6.55,1.19,20,4.21,2.29,42
aging,3.0,1.41,18,3.8,2.88,20
agitate,3.36,1.68,22,5.82,2.52,22
agitation,2.84,1.42,19,4.75,2.38,20
aglow,5.84,1.5,19,4.83,2.73,18
agonizing,2.68,1.49,19,6.71,1.95,21
agony,2.46,1.64,41,5.78,2.78,18
agree,7.17,1.58,18,3.62,2.09,21
agreeable,6.9,1.94,20,3.55,2.21,20
agreement,6.75,2.51,20,4.05,2.22,19
agricultural,5.5,2.41,18,3.55,2.18,22
agriculture,6.1,0.91,20,3.05,2.4,21
ahoy,5.58,1.64,19,3.95,2.2,21
aid,6.29,2.05,21,4.55,2.35,20
aide,5.6,1.19,20,4.0,1.66,22
aids,3.52,2.2,21,3.75,2.74,24
AIDS,1.33,0.8,21,5.0,2.6,20
ailing,2.95,1.43,22,4.52,2.48,21
ailment,3.0,1.37,18,3.68,2.25,22
aim,5.95,1.76,22,4.0,2.37,21
air,6.71,1.85,21,3.25,2.55,20
airbag,5.4,1.93,20,3.64,1.97,22
airborne,5.25,1.86,20,3.52,1.91,21
aircraft,6.3,1.42,20,4.86,2.46,22
aircraft carrier,5.25,1.8,20,4.64,2.59,22
airfield,5.74,1.48,19,4.38,2.22,21
airhead,4.1,2.0,21,4.3,2.32,20
airline,5.36,1.87,22,4.12,2.57,26
airliner,6.05,1.72,19,4.0,2.51,22
airlock,4.85,1.09,20,4.23,2.29,22
airplane,5.25,1.62,20,5.62,2.42,21
airport,6.0,2.14,21,5.5,2.78,20
airship,5.63,1.34,19,4.88,2.47,24
airspace,5.5,1.29,18,4.4,2.16,20
airspeed,4.95,1.51,19,4.33,2.79,18
airstrip,4.76,1.48,21,3.83,2.68,24
airtight,5.1,1.86,20,3.3,2.01,23
airway,4.95,1.81,19,4.0,1.97,21
aisle,5.17,1.65,18,2.5,1.44,22
ajar,5.0,1.55,21,3.26,2.32,23
aka,4.63,1.46,19,3.39,2.33,18
alabaster,5.5,1.43,20,3.95,2.06,21
alarm,3.86,1.98,21,6.85,2.39,20
alarm clock,3.47,1.47,19,5.36,2.77,22
alarming,3.52,2.04,21,6.5,2.09,20
albatross,5.68,2.31,19,3.09,1.6,22
albino,4.9,1.51,21,3.09,1.6,22
album,6.19,1.78,21,5.63,2.63,19
alcohol,4.11,2.08,19,5.17,1.86,18
alcoholic,2.49,1.54,39,5.48,2.69,23
alcoholism,2.0,1.61,21,5.0,2.45,24
alcove,5.5,1.91,20,3.32,2.39,25
alderman,4.44,2.12,18,3.05,1.89,22
ale,5.95,1.31,19,4.1,2.1,21
alert,5.38,1.72,40,5.14,2.41,43
alfalfa,4.79,1.9,19,3.67,1.91,21
algebra,5.4,2.28,20,4.6,2.66,20
algorithm,5.3,1.59,20,3.7,1.87,20
alias,5.0,1.03,20,4.71,2.05,21
alibi,4.16,1.89,19,4.5,1.88,20
alien,4.45,1.82,20,4.86,2.21,22
alienate,2.79,1.62,19,4.27,1.88,22
alienation,2.53,1.17,19,5.14,1.88,22
alight,5.67,1.43,21,3.86,2.03,21
align,5.95,1.75,19,3.32,1.91,22
alignment,6.0,1.48,21,3.92,2.34,24
alimony,3.86,1.74,21,3.09,2.45,23
alive,6.57,2.33,23,5.93,2.88,41
allegation,3.26,1.24,19,5.9,1.3,21
alleged,3.62,1.86,21,5.09,2.11,23
allegiance,5.8,1.67,20,5.17,2.21,23
allegro,5.0,1.65,20,3.89,2.95,18
allergic,3.0,1.86,20,5.4,2.44,20
allergy,2.9,1.55,41,3.9,2.17,21
alleviate,6.25,1.41,20,3.45,2.32,22
alley,4.17,1.63,41,4.08,2.28,38
alleyway,3.46,1.72,24,3.7,2.69,23
alliance,6.14,1.77,21,4.4,2.74,20
allied,5.95,1.36,20,3.38,1.94,21
alligator,4.23,1.88,22,5.36,2.3,22
allow,6.39,1.75,18,2.95,1.75,21
allowance,6.74,1.37,19,4.05,2.11,21
alloy,5.2,1.85,20,3.32,2.06,22
allure,6.9,0.97,20,4.25,2.55,20
alluring,6.74,1.41,19,4.35,2.46,20
ally,6.05,2.4,22,4.8,2.44,20
almanac,5.55,1.19,20,3.24,2.05,21
almighty,6.15,2.16,20,4.59,2.61,22
almond,6.05,1.85,20,2.89,2.13,19
aloha,7.1,1.26,21,3.82,2.13,22
alone,3.85,2.23,20,4.0,2.72,41
aloof,4.59,2.16,41,3.09,1.99,43
alpha,5.5,2.24,20,3.67,2.63,21
alphabet,5.95,1.94,21,3.15,2.25,20
alphabetical,6.32,1.42,19,3.0,1.7,21
alpine,5.84,0.76,19,3.52,1.89,21
altar,5.59,2.15,22,4.05,2.62,21
altar boy,4.76,1.41,21,3.11,2.13,19
alter,4.57,1.29,21,4.17,2.19,23
alteration,5.05,1.84,19,4.05,2.35,20
altercation,3.61,1.64,23,5.62,2.75,21
alternate,5.15,0.81,20,3.48,1.89,21
alternating,5.37,1.54,19,4.27,2.14,22
alternative,5.33,1.43,21,3.61,2.74,23
altimeter,4.5,0.96,22,3.61,2.1,23
altitude,5.27,1.72,22,4.15,2.52,26
aluminum,5.1,1.68,20,4.05,2.24,20
alumnus,4.95,1.5,21,3.23,2.0,22
alzheimers,2.26,1.82,19,4.5,2.35,22
amaretto,6.0,1.9,21,4.04,2.4,23
amateur,4.58,1.17,19,3.55,2.09,20
amaze,7.24,2.0,21,5.0,2.25,20
amazed,7.55,0.89,20,5.95,2.68,22
amazement,7.29,1.9,24,6.3,2.51,23
amazing,7.72,1.32,18,6.05,2.52,21
ambassador,5.5,1.54,22,3.91,2.16,22
amber,6.15,1.79,20,3.36,1.84,22
ambience,6.35,1.87,20,3.85,2.87,20
ambient,6.33,1.8,21,3.2,2.53,20
ambiguous,5.16,1.64,19,4.0,2.61,21
ambition,7.28,1.62,40,4.86,2.38,44
ambitious,6.33,1.74,21,5.76,1.81,21
ambrosia,5.95,1.94,21,4.05,2.31,20
ambulance,3.71,2.11,41,5.33,2.94,21
ambush,3.17,1.89,18,5.58,2.81,19
amend,5.85,1.87,20,3.06,2.1,18
amendment,5.6,1.19,20,3.5,1.92,18
amends,6.68,1.8,19,3.95,2.21,20
amiable,6.7,1.42,20,2.85,1.63,20
amino,4.45,1.88,20,3.83,1.97,24
ammo,4.18,2.24,22,5.53,2.34,19
ammonia,3.74,1.69,19,3.0,2.02,22
ammonium,4.06,1.63,18,4.37,2.61,19
ammunition,4.59,2.5,22,5.7,2.27,23
amnesia,3.43,1.69,21,5.04,2.48,23
amnesty,5.38,2.22,21,3.86,2.33,21
amorous,5.95,1.88,21,4.21,3.05,24
amount,5.42,0.61,19,3.53,1.98,19
amour,6.43,1.89,21,5.43,2.57,23
amp,5.79,1.44,19,5.05,2.36,21
amphibian,5.4,1.88,20,3.35,2.15,17
amphibious,5.75,1.71,20,5.7,1.75,20
ample,5.89,2.21,19,3.28,2.14,18
amputate,2.1,1.45,20,5.43,2.37,23
amputation,1.84,1.26,19,4.86,2.76,21
amuck,4.0,2.08,19,4.41,2.26,22
amulet,5.75,1.8,20,3.95,2.29,21
amuse,7.1,1.37,20,5.17,1.99,23
amused,7.05,1.28,21,4.27,2.76,22
amusement,7.0,1.56,19,4.82,2.7,22
amusing,7.6,1.31,20,5.18,2.11,22
anaconda,4.43,2.66,21,6.0,2.13,20
anagram,4.37,1.89,19,3.86,1.96,21
anal,4.0,2.51,21,4.29,2.77,24
analogy,5.24,2.07,21,3.95,2.27,19
analysis,5.25,1.59,20,3.74,1.94,19
analyst,5.0,0.79,20,3.24,2.12,21
analytical,6.0,1.91,19,4.13,1.91,23
analyze,5.65,1.39,20,4.1,2.17,21
analyzer,4.62,1.56,21,3.48,2.37,23
anaphylactic,4.0,1.89,19,5.57,2.77,21
anarchist,2.76,1.87,21,4.16,1.97,25
anarchy,3.68,2.0,19,4.86,2.64,22
anatomy,6.29,1.01,21,4.43,2.4,21
ancestor,6.37,1.16,19,3.73,2.41,22
ancestral,6.6,1.6,20,3.6,2.37,20
ancestry,6.29,1.82,21,3.71,2.24,21
anchor,5.16,2.17,19,3.32,2.08,22
anchorage,5.09,1.72,22,3.82,2.26,22
ancient,7.24,1.18,21,3.48,1.97,21
android,5.62,2.33,21,3.5,2.41,24
anecdote,5.62,1.36,21,4.65,2.55,23
anemia,3.05,2.04,21,4.09,2.39,23
anemic,3.45,1.19,20,3.45,1.79,20
anesthesia,4.84,2.06,19,3.64,2.06,22
anesthesiologist,4.95,2.11,20,3.56,2.25,18
anesthetic,5.48,2.27,21,3.23,1.82,22
aneurysm,2.5,1.79,20,5.38,2.33,21
angel,7.71,1.85,41,4.24,2.85,42
angelic,6.68,2.52,19,4.27,2.45,22
anger,2.5,1.36,20,5.93,2.77,43
angina,2.85,1.69,20,4.72,2.89,18
angiogram,4.19,1.83,21,3.61,2.68,23
angle,4.55,1.28,20,3.22,2.24,18
angora,5.63,2.24,19,2.95,1.56,22
angry,2.53,1.74,19,6.2,2.57,20
angst,3.5,1.7,20,5.76,2.55,21
anguish,3.14,1.77,21,5.41,2.72,22
anguished,2.78,1.46,41,4.79,2.54,43
animal,7.06,1.95,18,4.3,2.7,20
animated,6.65,1.79,20,5.77,2.29,22
animation,6.42,1.12,19,5.52,2.84,21
animosity,3.4,1.88,20,5.83,2.28,18
ankle,5.4,1.9,20,3.11,1.94,18
anklet,4.75,1.37,20,3.57,1.97,23
annals,4.8,0.83,20,2.6,2.21,20
annex,4.41,1.05,22,4.0,2.49,23
annihilate,3.15,1.73,20,6.44,2.53,18
annihilation,2.58,1.87,19,5.52,2.54,21
anniversary,6.95,2.03,22,4.0,2.68,21
announce,5.52,1.33,21,3.65,2.66,20
announcement,5.81,1.4,21,4.3,2.81,20
announcer,5.84,1.5,19,4.5,2.7,22
annoy,2.49,1.42,41,5.04,2.4,23
annoyance,2.95,1.23,20,4.1,2.59,20
annoyed,2.8,1.2,20,5.29,2.53,21
annoying,3.0,1.71,18,5.55,2.04,20
annual,5.19,1.97,21,3.7,1.84,23
annul,3.83,2.15,23,4.23,2.31,22
annulment,4.05,1.99,20,4.14,2.34,22
anointed,4.79,2.27,19,3.32,2.08,22
anomaly,4.84,1.74,19,4.25,2.45,20
anonymity,4.81,2.02,21,3.29,1.82,21
anonymous,5.75,1.65,20,4.13,2.2,23
anorexic,2.71,2.08,21,4.24,2.39,21
answer,6.1,1.41,39,4.0,2.89,43
ant,3.9,1.14,21,3.27,2.39,22
antagonistic,4.32,1.57,19,4.11,2.52,18
antagonize,3.15,1.35,20,4.95,2.11,20
antelope,5.68,1.46,22,4.46,2.72,26
antenna,5.43,1.25,21,3.15,2.11,20
anterior,4.89,1.82,19,3.36,2.34,22
anthem,5.95,1.43,20,4.48,2.27,21
anthill,4.32,1.86,22,4.63,2.17,19
anthrax,2.32,0.89,19,4.72,2.47,18
anthropological,5.53,1.9,19,3.82,2.42,22
anthropologist,5.7,1.22,20,3.27,2.33,22
anthropology,5.3,1.87,20,2.91,2.15,23
anti,4.47,1.98,19,4.23,2.52,22
antiaircraft,4.85,2.13,20,4.6,2.27,25
antibiotic,5.88,1.94,24,4.05,2.16,21
antibiotics,5.05,1.73,20,4.05,2.32,22
antichrist,2.36,1.79,22,5.58,2.4,26
anticipate,6.0,1.26,20,5.7,2.0,20
anticipation,5.26,1.66,19,5.39,2.55,18
antics,3.95,1.43,19,5.1,2.17,21
antidote,6.55,2.31,20,3.24,2.05,21
antigravity,5.74,1.76,19,5.1,2.65,20
antiquated,5.0,1.61,21,4.95,2.74,20
antique,6.5,1.93,20,4.0,2.35,25
antiques,6.63,2.29,19,3.68,2.71,22
antiseptic,4.57,1.69,21,3.15,2.03,20
antisocial,3.21,1.62,19,5.32,2.12,22
antsy,4.36,1.76,22,5.23,2.72,22
anus,2.9,1.62,20,4.39,2.33,18
anvil,5.05,0.94,20,4.4,2.11,20
anxiety,2.38,1.66,21,4.78,2.89,23
anxious,3.8,1.42,40,6.2,2.36,44
anytime,5.81,1.6,21,4.6,2.46,20
aorta,4.35,1.57,20,3.64,1.59,22
aortic,4.25,1.37,20,3.5,2.56,16
apache,5.2,1.51,20,3.7,2.13,20
apartment,5.72,2.35,18,3.8,2.76,20
apartments,5.0,1.73,19,3.28,1.99,18
apathy,3.68,1.7,19,3.8,2.21,20
ape,5.21,1.72,19,4.25,2.73,20
apex,5.52,1.59,23,3.48,2.29,21
aphrodisiac,6.43,1.99,21,5.96,2.46,23
apocalypse,3.24,2.34,21,5.04,2.9,24
apologetic,6.65,2.35,20,4.0,2.65,21
apologize,4.94,2.13,18,3.52,2.23,21
apology,6.24,1.87,21,4.0,2.14,22
apostle,5.5,2.21,20,4.38,2.28,24
apothecary,5.48,1.47,23,4.23,2.41,22
appalled,3.62,1.5,21,4.91,2.81,22
appalling,2.95,1.99,19,5.5,2.54,20
apparatus,5.5,1.65,22,4.0,2.37,21
apparel,5.38,2.2,21,4.3,2.22,23
apparent,4.96,1.46,23,3.19,2.06,21
apparition,4.85,1.5,20,4.82,2.13,22
appeal,6.3,2.15,20,3.57,2.13,21
appear,5.25,0.64,20,3.24,2.21,21
appearance,6.14,1.9,21,4.57,2.45,23
appease,5.95,1.15,20,3.55,2.28,22
appendage,4.23,1.34,22,4.35,2.4,23
appendectomy,2.95,2.15,19,6.14,2.46,21
appendicitis,1.86,1.35,21,5.12,2.6,25
appendix,4.81,1.97,21,2.92,1.89,24
appetite,6.23,1.54,22,5.37,2.39,19
appetizer,7.29,1.76,21,4.52,2.37,25
appetizing,7.0,1.45,19,4.82,3.0,22
applaud,6.7,1.17,20,5.05,1.75,19
applause,7.12,1.35,41,5.38,1.83,21
apple,6.62,1.72,21,3.52,2.06,21
apple juice,7.3,1.43,23,3.2,2.21,20
applejack,5.79,1.96,19,3.8,2.31,20
applesauce,6.9,1.86,20,2.78,2.0,23
appliance,5.15,1.29,40,2.84,1.88,45
applicant,4.91,1.19,22,3.96,2.24,25
application,5.05,1.43,20,4.52,1.95,23
apply,5.16,1.38,19,3.24,1.67,21
appoint,5.95,1.61,19,4.25,2.07,20
appointment,4.43,1.69,21,4.8,2.5,20
appraisal,5.09,2.0,23,4.09,2.09,22
appreciate,7.33,1.53,18,3.1,2.25,20
appreciation,7.3,1.45,20,4.68,2.44,22
appreciative,7.14,1.8,21,4.35,2.27,23
apprehend,4.14,1.85,21,5.13,2.28,23
apprehension,4.15,1.66,20,4.23,2.58,22
apprehensive,3.32,1.49,19,4.77,2.64,22
apprentice,5.95,1.32,21,3.59,1.71,22
approach,5.45,1.15,20,4.48,1.91,21
appropriate,6.1,1.94,20,4.04,2.06,23
approval,6.75,1.68,20,3.52,2.77,21
approve,7.0,1.92,20,4.09,2.29,22
approximate,5.26,1.29,23,3.82,2.2,22
apricot,5.95,2.19,20,4.29,2.12,21
apron,5.8,1.54,20,2.9,1.65,20
apt,5.64,1.53,22,4.05,2.32,19
aptitude,5.95,1.54,19,4.55,2.42,20
aqua,6.5,1.28,20,3.6,2.37,20
aquamarine,6.4,1.9,20,3.9,2.85,20
aquarium,6.43,1.78,21,4.3,2.54,20
aquatic,6.8,1.4,20,3.58,2.75,24
arbitrary,4.15,1.81,20,4.55,2.76,20
arbitration,4.09,2.0,22,4.41,2.28,22
arcade,6.45,1.96,20,6.1,2.47,20
arcane,5.25,1.86,20,3.61,1.92,23
arch,5.8,1.77,20,3.15,1.93,20
archaeological,6.05,1.22,19,4.52,2.14,21
archaeologist,5.42,1.57,19,4.14,2.22,21
archaeology,6.1,1.62,20,3.86,2.56,21
archaic,4.5,1.74,22,4.38,2.11,21
archangel,7.27,1.78,22,4.19,2.28,26
archbishop,4.71,1.63,24,3.78,1.98,23
archdiocese,3.95,2.32,19,3.41,2.67,22
archduke,4.15,1.53,20,3.56,2.04,18
archery,5.25,2.05,20,4.39,2.57,18
architect,6.21,1.84,19,3.25,2.12,20
architectural,6.32,2.06,19,4.05,2.77,21
architecture,6.05,1.36,20,4.39,2.59,23
archive,4.81,1.03,21,4.18,2.13,22
arctic,4.45,2.01,20,3.88,2.64,25
ardent,4.95,1.56,21,4.62,2.34,24
area,5.56,1.29,18,2.19,1.6,21
arena,5.75,1.45,20,4.23,2.58,22
argue,3.15,1.53,20,6.67,2.61,18
argument,2.62,1.53,21,5.22,2.68,23
