Word,Word type,new AoA,Frequency
condemnation,N,570,0.6964
conduct,V,448,1.5802
confectioner,N,478,-0.6576
confirm,V,484,1.6475
confucianism,N,648,-0.6576
confuse,V,441,1.3153
confuser,N,560,-1.5539
congo,N,570,0.4955
congregate,V,513,0.3802
congregational,N,590,-0.6576
congregationalist,N,605,-0.4685
connect,V,422,1.6044
conservative,N,542,1.211
consider,V,435,2.3189
console,V,510,0.7597
constituency,N,598,1.2154
construct,V,450,1.4556
contact,N,439,1.9171
contemplate,V,549,1.2509
contentment,N,506,0.7427
contract,V,570,1.1753
control,V,456,1.9372
converse,V,529,0.6107
convince,V,486,1.4859
cook,N,288,1.2643
cook,V,251,1.8557
cooked,A,258,1.8557
cookery,N,318,0.5599
cool,V,279,1.4108
cope,V,435,1.6404
copious,A,596,0.4373
corfu,N,611,-1.5539
cosmology,N,639,-0.2147
cost,N,428,2.258
cost,V,407,1.7406
cougar,N,579,-0.7696
cough,V,226,1.0955
could,V,256,3.598
council,N,540,2.0784
councillor,N,570,0.9405
counsel,V,611,0.7427
counsellor,N,611,0.711
country,N,314,2.7478
couple,N,331,2.1094
course,N,441,2.8637
covet,V,534,0.3598
covetousness,N,562,-0.5528
cow,N,174,1.6051
cower,V,510,0.3711
coyote,N,572,0.0899
crack,N,305,1.3469
crack,V,318,1.2695
craft,N,426,1.2577
creak,V,387,0.9085
cream,N,245,1.4795
create,V,428,2.205
creativity,N,527,0.9375
credo,N,631,-0.1079
creed,N,534,0.7642
cricketer,N,383,0.6665
crimson,N,389,0.2529
cringe,V,488,0.42
criticise,V,488,1.4472
crochet,V,441,0.1072
crocodile,N,316,0.7471
crow,N,279,-1.5539
cruel,A,303,1.4504
cruelty,N,361,1.2936
cry,N,159,1.4681
cuba,N,588,1.255
cube,V,553,0.2385
cuddle,V,211,0.5599
cull,N,611,-0.4089
cull,V,613,0.4378
culture,N,568,1.91
cure,V,392,1.3303
curl,V,320,1.1833
cycle,V,273,0.7889
cyprus,N,575,1.0237
czech republic,N,622,-1.5539
czechoslovakia,N,590,0.8116
daffodil,N,271,0.3492
dainty,A,348,0.2648
dairyman,N,404,-0.6576
damage,N,344,1.6459
damage,V,361,1.568
damask,N,570,-0.2518
damn,V,549,1.276
dance,N,295,1.566
dance,V,269,1.8179
dash,V,333,1.1109
daughter,N,256,2.1098
day,N,204,2.9516
deal,V,413,2.0192
dear,N,295,1.5409
dearly,ADV,404,0.5328
death,N,342,2.379
debase,V,620,0.3802
debt,N,521,1.515
deceitful,A,519,0.1072
deceive,V,512,1.1219
december,N,295,1.579
deception,N,540,0.9263
decide,V,363,2.3983
declare,V,471,1.7423
decorator,N,430,0.3032
decrease,V,454,1.1553
deem,V,579,0.7686
deepen,V,458,0.8837
defame,V,610,-0.2147
defeat,N,416,1.3641
defend,V,414,1.6709
define,V,538,1.7428
defraud,V,588,-0.2518
defrost,V,527,-0.0506
defy,V,449,1.0546
delay,V,430,1.4089
deliberate,V,573,0.3492
delight,N,432,1.4461
delight,V,449,1.5388
delighted,A,412,1.5388
demand,V,399,1.9034
demented,A,577,0.5729
democracy,N,612,1.7497
democrat,N,635,1.1801
demolish,V,485,0.871
denmark,N,513,-1.5539
denote,V,582,0.5105
dent,N,377,0.1621
dentist,N,295,0.9646
dentistry,N,452,0.2253
deny,V,410,1.816
depart,V,405,1.2911
dependability,N,568,-0.6576
depict,V,582,1.0673
depose,V,606,0.0682
deprive,V,531,-1.5539
depth,N,399,1.4622
dermatology,N,635,-1.2218
descend,V,458,1.3985
describe,V,390,2.217
deselect,V,628,-1.5539
design,N,463,1.9079
design,V,471,1.9405
designer,N,502,1.3694
desire,N,451,1.8267
despair,N,482,1.4365
despair,V,496,0.5922
despise,V,516,1.1604
destroy,V,393,2.0167
deteriorate,V,555,0.8645
determination,N,487,1.2925
determine,V,531,1.7142
deviate,V,612,0.2648
dice,V,531,-0.0487
dictatorship,N,599,0.9201
did,V,244,3.6541
die,V,286,2.3785
differ,V,473,1.3577
different,A,314,2.6027
dig,V,230,1.6021
digger,N,320,0.0492
digress,V,607,-0.0223
dilute,V,486,0.7292
diminish,V,583,1.4146
diplomacy,N,622,0.7803
dirtiness,N,355,-1.5539
dirty,V,284,-0.0768
disability,N,516,0.7597
disagree,V,389,1.1572
disallow,V,525,-0.1739
disappear,V,346,1.8385
disappoint,V,387,0.4547
disappointed,A,381,1.3165
disapprove,V,486,0.943
discipline,V,469,0.9776
disclose,V,551,0.8932
discomfort,N,486,1.0438
discontentment,N,564,-1.5539
discover,V,370,2.1449
discuss,V,437,2.11
disease,N,396,1.9352
disfavour,V,596,-1.5539
disgust,N,469,1.0674
disgusting,A,448,0.9952
disharmony,N,596,-0.1739
dishonest,A,402,0.7597
disillusion,V,592,0.2529
disintegrate,V,575,0.8965
dislike,N,353,1.0237
dismissiveness,N,611,-1.5539
disobedience,N,385,0.4713
disobey,V,351,0.5024
disperse,V,547,0.9952
dispiritedness,N,628,-1.5539
display,N,425,1.5777
display,V,445,1.5777
disregard,N,575,0.3385
disregard,V,542,0.7846
dissolve,V,432,1.2658
distill,V,579,0.4771
distraught,A,605,0.3711
distrust,N,527,0.5465
disturb,V,396,1.6387
disunite,V,616,-0.4685
disunited,A,617,-0.4685
dither,V,465,-0.3468
ditherance,N,626,-1.5539
dive,V,346,1.0993
diver,N,348,0.3599
divide,V,343,1.8063
do,N,439,-0.7757
do,V,265,3.6541
docker,N,484,0.4639
doctor,N,241,2.2662
doctor,V,448,0.1274
doe,N,439,0.4373
dolled up,A,511,-1.5539
dolphin,N,442,0.48
domestic,A,515,1.6704
domestic scienc,N,559,-1.5539
donate,V,497,0.6503
donkey,N,235,1.152
double,A,324,1.5547
double bassist,N,614,-1.5539
down,F,204,3.0106
dragon,N,265,0.9776
drank,V,243,2.1128
draughtsman,N,591,0.1072
draw,V,222,2.3329
dream,N,275,1.887
dream,V,271,1.5745
dress,V,231,1.9136
dressmaker,N,410,-0.0757
drill,V,407,1.0673
drink,N,166,2.0153
drinking,N,199,0.985
drive,V,330,2.1128
drop,V,231,2.1539
drug,N,532,1.6745
drum,V,319,0.7339
drunkenness,N,519,0.3711
duckbilled platypus,N,576,-1.5539
dull,V,532,0.3906
during,F,378,2.5808
dust,V,290,0.929
dustman,N,286,-0.0757
dye,V,427,0.8964
eager,A,427,1.3694
early,A,288,2.4535
earn,V,397,1.7353
ease,N,433,1.3652
ease,V,467,1.3535
easiness,N,444,-0.6576
east,N,366,1.5091
easy,A,267,0.954
eat,V,167,2.4617
eau de nil,N,614,-1.5539
echo,N,359,1.0856
echo,V,399,1.263
ecstasy,N,595,0.7966
editor,N,551,1.5654
educate,V,423,1.2577
egotism,N,640,-0.0223
egypt,N,469,1.5136
either,A,359,1.6755
eject,V,526,0.525
el salvador,N,625,-1.5539
electrical,A,427,1.2577
electrical science,N,629,-1.5539
electrician,N,463,0.5105
elegance,N,538,0.9538
eleven,NUM,290,1.4803
elk,N,509,0.1461
else,F,370,2.4351
embarrass,V,475,1.4108
embrace,V,484,1.3965
embroider,V,435,0.8156
emerald,N,452,0.2385
emotional,A,553,1.6694
empathise,V,631,1.5682
empathy,N,637,0.0492
empire,N,452,1.172
empty,V,273,1.1989
emu,N,463,-0.5528
encourage,V,429,2.0316
end,N,239,2.6382
end,V,305,2.1492
ending,N,328,0.8837
energy,N,380,2.3167
enforce,V,525,1.2154
engineer,N,522,1.4938
engineering,N,529,1.5519
england,N,275,-1.5539
english,N,292,1.9153
enjoy,V,284,2.1714
enjoyment,N,340,1.0795
enlarge,V,458,1.129
enquire,V,446,1.415
enrich,V,551,0.8675
enter,V,334,2.1106
entertain,V,393,1.1588
entertaining,A,433,0.5599
entire,A,475,1.8892
envy,N,456,1.1363
envy,V,469,1.0896
epic,N,585,0.4456
epidemic,N,551,0.8156
episcopalian,N,650,-0.3468
erect,V,496,1.0856
escape,N,397,1.4763
escape,V,359,1.7802
estate,N,507,1.673
estimator,N,612,-1.2218
estonia,N,627,-1.5539
etch,V,576,0.4713
ethiopia,N,585,0.6222
evaluate,V,604,0.9261
evaporate,V,517,0.9085
even,F,345,3.1172
event,N,404,2.1302
eventually,ADV,435,1.9461
ever,F,309,2.6528
every,F,288,2.7378
everybody,F,275,1.9157
everyone,F,279,2.1961
everything,F,267,2.4157
everywhere,F,279,1.6729
evil,N,372,1.4819
evolve,V,562,1.3886
exact,A,429,1.4731
exactly,ADV,399,2.1511
excellence,N,463,0.8156
excess,N,526,0.9777
excited,A,328,1.3651
exercise,V,353,1.4648
exit,N,368,1.1237
expand,V,454,1.6673
expect,V,383,2.4543
explain,V,357,2.3042
explode,V,391,1.3448
extend,V,475,1.871
extol,V,608,0.3032
eye,N,204,2.7195
eye,V,504,0.7846
face,N,178,2.6635
face,V,349,2.1342
facet,N,589,0.6767
fact,N,411,2.7579
factory,N,380,1.7741
factory worker,N,410,-1.5539
fade,V,420,1.5553
fail,V,378,2.1635
failing,N,509,0.4284
faint,V,408,0.8153
faith,N,450,1.7157
faithfulness,N,513,-0.1739
falklands,N,618,-1.5539
fall,V,210,2.4695
false,A,399,1.642
familiar,A,446,1.8142
fancy,N,393,0.8002
far,F,294,2.8039
farm,N,256,1.9318
farm,V,357,0.8041
farmer,N,273,1.9455
faroes,N,625,-1.5539
fascinating,A,530,1.3257
fascist,N,618,0.5539
fast,F,258,1.9963
fate,N,496,1.536
father,N,185,2.4784
fatten,V,380,0.6712
fault,N,385,1.6502
fault,V,458,0.3806
fear,N,303,2.1658
fear,V,349,1.8964
feed,V,227,2.1236
feel,V,244,2.9372
feeling,N,340,2.1492
fell,V,231,0.9458
female,N,338,1.4836
fence,V,467,0.4004
fetch,V,284,1.328
fetter,N,583,0.0682
fetter,V,587,-0.0506
fettle,N,551,-0.4685
few,A,292,2.2145
fewer,A,347,1.4763
fianna fail,N,650,-1.5539
fierceness,N,486,-0.1739
fight,V,284,2.1535
fighting,N,290,1.3514
file,V,494,1.3177
final,A,418,2.0318
financier,N,610,0.2648
find,V,258,3.0377
fine,F,321,1.4984
finery,N,490,0.1271
finesse,N,606,0.238
finland,N,549,-1.5539
fire,N,189,2.2103
fire,V,391,1.6816
fireman,N,294,0.5601
first,NUM,235,2.8768
fish,V,275,1.493
fit,V,364,1.8752
fitness,N,454,0.9345
fitter,N,463,0.2788
five,NUM,208,2.4653
flame,N,252,1.408
flatten,V,351,0.975
flew,V,321,1.9814
flex,V,528,0.711
float,V,321,1.5143
floor,N,204,2.2456
floor sweeper,N,372,-1.5539
florist,N,469,-0.1079
flounce,V,572,-0.0757
flounder,N,590,0.5855
flounder,V,581,0.48
flourish,V,544,1.2761
flower,N,183,1.9709
flower,V,339,0.8611
fly,N,200,1.552
foal,N,328,0.2912
focus,N,549,1.3153
focus,V,503,1.3524
follow,V,291,2.4718
following,F,350,1.3652
foolish,A,359,1.3022
foot,N,163,2.5148
footballer,N,304,0.5539
footman,N,454,0.4548
for,F,227,3.9007
forbid,V,394,1.2257
force,N,412,2.2817
force,V,425,2.1511
forecast,V,502,1.0212
foreign,A,427,2.032
forensic,A,628,0.4378
forensic medicine,N,637,-1.5539
foresee,V,553,1.0715
foretaste,N,590,0.0253
foretell,V,546,0.3909
foreteller,N,599,-1.5539
forewarning,N,577,0.1614
forget,V,325,2.2323
forgetfulness,N,421,0.0492
forgive,V,370,1.5157
formulate,V,600,1.1146
forth,F,474,1.6572
forward,F,311,2.0844
forwards,F,343,1.1973
foster,V,555,1.4755
foster mother,N,564,-1.5539
four,NUM,189,2.5138
fraction,N,415,1.1738
fragile,A,456,1.063
frail,A,469,0.9801
frailty,N,538,0.3385
france,N,423,1.9973
freeze,V,348,1.6497
frequency,N,538,1.1989
friend,N,236,2.5524
friendliness,N,374,0.616
frighten,V,286,1.3404
from,F,251,3.6213
front,N,244,2.3001
frontbencher,N,626,-1.2218
frown,V,355,1.2184
frumpy,A,529,-1.5539
frustrate,V,564,1.3246
frustration,N,577,1.2936
fry,V,325,1.3292
funny,A,228,1.7062
furniture,N,264,1.5898
furniture remover,N,458,-1.5539
fuse,V,542,0.7109
gadget,N,512,0.716
gain,N,441,1.4347
gain,V,438,1.9422
gallon,N,396,1.0438
gape,V,480,0.8299
garden,N,239,2.148
garden,V,316,0.4795
gardener,N,330,1.0095
gargle,V,374,-0.301
gas,N,306,1.888
gas,V,478,0.4284
gasp,V,435,1.202
gave,V,271,3.1074
gazelle,N,523,0.2788
genealogy,N,646,-0.5528
general,A,450,2.4122
generosity,N,463,0.8932
generous,A,424,1.4071
genteel,A,568,0.4548
gentle,A,346,1.5614
geology,N,603,0.3385
gerbil,N,523,-1.5539
german,N,414,1.8601
germany,N,411,1.9124
get,V,251,3.3777
giggle,V,295,1.2095
ginger,N,359,0.5601
giraffe,N,342,0.1943
gismo,N,609,-1.5539
give,V,243,3.1074
giving,A,282,3.1074
glamorous,A,501,0.7202
glass,N,254,2.1613
glazier,N,533,-0.9586
glee,N,471,0.5599
glide,V,424,0.8116
glitter,N,357,0.5253
glitter,V,399,1.0213
gloom,N,417,1.0438
glue,V,304,0.4639
gnu,N,566,-0.6508
go,V,221,3.4617
goat,N,282,1.4513
godmother,N,383,0.238
gold,N,305,1.9444
gold coast,N,572,-1.5539
goldfish,N,269,0.3909
golf,V,463,0.4547
golfer,N,458,0.8774
good,A,185,3.1628
goose,N,286,1.0212
gopher,N,597,-0.6576
gorge,V,535,0.3385
gorgeous,A,482,0.738
gorilla,N,383,0.4795
got,V,236,3.3777
gown,N,410,1.0856
gown,V,551,-0.5539
grace,N,436,1.3503
grade,N,478,1.3022
grade,V,509,0.8775
graffiti,V,598,0.3909
grand,A,392,1.695
grant,V,476,1.642
grate,N,324,0.2786
grateful,A,405,1.3817
gratitude,N,460,1.0416
graze,N,315,-0.4078
graze,V,332,1.2243
great,A,295,2.9356
great britain,N,348,-1.5539
grecian,N,582,0.2095
greece,N,522,1.2482
greek orthodox,N,639,-1.5539
green party,N,641,-1.5539
greenland,N,542,-1.5539
greet,V,413,1.4946
grew,V,297,2.5333
grey,N,284,1.0792
grieve,V,489,0.6812
grill,V,454,0.7642
grimace,V,551,0.5855
grind,V,465,1.4382
groan,V,399,1.0482
grocer,N,333,0.76
groom,V,452,0.6812
ground,N,251,2.2497
group,N,350,2.6746
grovel,V,527,0.0682
grudge,N,504,0.4373
grumble,N,412,-0.1367
grumble,V,383,0.9263
grunt,V,368,0.9619
guard,N,374,1.718
guard,V,392,1.2643
guide,V,405,1.409
guilt,N,469,1.5621
guilty,A,465,1.7053
guinea pig,N,414,-1.5539
gujarati,N,652,-1.5539
gunsmith,N,588,-0.5528
gusto,N,575,0.2529
had,V,251,4.1311
hair,N,180,2.3005
hairdress,V,443,-1.5539
hairdresser,N,355,0.6284
halt,N,423,1.0816
halt,V,374,1.0915
hamlet,N,524,1.1416
hammer,V,297,1.0955
hamster,N,425,0.586
hang,V,341,1.1688
happen,V,344,2.6414
happily,ADV,335,1.4023
happy,A,258,2.1812
harbour,N,396,1.3683
harbour,V,516,0.5601
hard,A,273,1.9887
harden,V,421,1
hardly,ADV,401,2.0909
harm,V,355,1.0048
harmony,N,498,1.1554
harvest,V,421,0.9852
hate,N,333,1.1817
hate,V,350,1.9628
hatred,N,426,1.3382
have,V,253,4.1311
have to,V,306,
he,F,189,3.9468
head,V,443,1.6704
headmaster,N,352,0.932
heal,V,357,1.1704
healthy,A,366,1.6086
hear,V,253,2.7039
heat,N,299,2.0416
heat,V,322,1.4444
hebrew,N,533,0.8476
hedgehog,N,366,0.316
heighten,V,502,0.7803
held,V,306,2.6675
help,N,269,2.1315
help,V,262,2.5895
helpful,A,315,1.4202
helpfulness,N,399,0.1072
helpless,A,406,1.2669
hence,F,519,1.4915
her,F,205,3.586
here,F,214,2.8952
